Round Number,Date,Location,Home Team,Away Team,Result
6,02/02/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Minnesota Timberwolves,
6,02/02/2021 00:30,State Farm Arena,Atlanta Hawks,Los Angeles Lakers,
6,02/02/2021 00:30,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,
6,02/02/2021 01:00,United Center,Chicago Bulls,New York Knicks,
6,02/02/2021 01:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,
6,02/02/2021 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
6,02/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,
6,02/02/2021 01:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,
6,02/02/2021 01:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,
6,02/02/2021 02:00,Ball Arena,Denver Nuggets,Detroit Pistons,
7,03/02/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,
7,03/02/2021 00:00,Amway Center,Orlando Magic,Toronto Raptors,
7,03/02/2021 00:30,Barclays Center,Brooklyn Nets,Los Angeles Clippers,
7,03/02/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Detroit Pistons,
7,03/02/2021 03:00,Chase Center,Golden State Warriors,Boston Celtics,
7,04/02/2021 00:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,
7,04/02/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Clippers,
7,04/02/2021 00:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
7,04/02/2021 00:30,State Farm Arena,Atlanta Hawks,Dallas Mavericks,
7,04/02/2021 00:30,AmericanAirlines Arena,Miami Heat,Washington Wizards,
7,04/02/2021 01:00,United Center,Chicago Bulls,New York Knicks,
7,04/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,
7,04/02/2021 01:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,
7,04/02/2021 02:30,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,
7,04/02/2021 03:00,Golden 1 Center,Sacramento Kings,Boston Celtics,
7,05/02/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,
7,05/02/2021 00:30,State Farm Arena,Atlanta Hawks,Utah Jazz,
7,05/02/2021 00:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,
7,05/02/2021 01:00,FedExForum,Memphis Grizzlies,Houston Rockets,
7,05/02/2021 03:00,Staples Center,Los Angeles Lakers,Denver Nuggets,
7,06/02/2021 00:00,Spectrum Center,Charlotte Hornets,Utah Jazz,
7,06/02/2021 00:00,Bankers Life Fieldhouse,Indiana Pacers,New Orleans Pelicans,
7,06/02/2021 00:00,Amway Center,Orlando Magic,Chicago Bulls,
7,06/02/2021 00:30,Barclays Center,Brooklyn Nets,Toronto Raptors,
7,06/02/2021 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
7,06/02/2021 01:00,AmericanAirlines Arena,Miami Heat,Washington Wizards,
7,06/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,
7,06/02/2021 02:00,PHX Arena,Phoenix Suns,Detroit Pistons,
7,06/02/2021 03:00,Staples Center,Los Angeles Clippers,Boston Celtics,
7,06/02/2021 18:00,Madison Square Garden,New York Knicks,Portland Trail Blazers,
7,06/02/2021 22:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
7,07/02/2021 00:00,Amway Center,Orlando Magic,Chicago Bulls,
7,07/02/2021 00:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
7,07/02/2021 00:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,
7,07/02/2021 00:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,
7,07/02/2021 01:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
7,07/02/2021 01:00,Toyota Center,Houston Rockets,San Antonio Spurs,
7,07/02/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,
7,07/02/2021 01:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,
7,07/02/2021 03:00,Staples Center,Los Angeles Lakers,Detroit Pistons,
7,07/02/2021 18:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,
7,07/02/2021 18:00,Bankers Life Fieldhouse,Indiana Pacers,Utah Jazz,
7,07/02/2021 18:00,Madison Square Garden,New York Knicks,Miami Heat,
7,07/02/2021 19:00,PHX Arena,Phoenix Suns,Boston Celtics,
7,07/02/2021 20:00,Staples Center,Los Angeles Clippers,Sacramento Kings,
7,09/02/2021 00:00,Spectrum Center,Charlotte Hornets,Houston Rockets,
7,09/02/2021 01:00,United Center,Chicago Bulls,Washington Wizards,
7,09/02/2021 01:00,FedExForum,Memphis Grizzlies,Toronto Raptors,
7,09/02/2021 01:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
7,09/02/2021 01:30,AT&T Center,San Antonio Spurs,Golden State Warriors,
7,09/02/2021 02:00,PHX Arena,Phoenix Suns,Cleveland Cavaliers,
7,09/02/2021 02:30,Ball Arena,Denver Nuggets,Milwaukee Bucks,
7,09/02/2021 03:00,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,
8,10/02/2021 00:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,
8,10/02/2021 00:30,AmericanAirlines Arena,Miami Heat,New York Knicks,
8,10/02/2021 00:30,Smoothie King Center,New Orleans Pelicans,Houston Rockets,
8,10/02/2021 01:30,AT&T Center,San Antonio Spurs,Golden State Warriors,
8,10/02/2021 03:00,Vivint Smart Home Arena,Utah Jazz,Boston Celtics,
8,10/02/2021 03:00,Moda Center,Portland Trail Blazers,Orlando Magic,
8,10/02/2021 03:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,
8,11/02/2021 00:00,Capital One Arena,Washington Wizards,Toronto Raptors,
8,11/02/2021 00:30,Barclays Center,Brooklyn Nets,Indiana Pacers,
8,11/02/2021 00:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,
8,11/02/2021 01:00,United Center,Chicago Bulls,New Orleans Pelicans,
8,11/02/2021 01:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,
8,11/02/2021 01:00,Target Center,Minnesota Timberwolves,Los Angeles Clippers,
8,11/02/2021 02:00,Ball Arena,Denver Nuggets,Cleveland Cavaliers,
8,11/02/2021 03:00,PHX Arena,Phoenix Suns,Milwaukee Bucks,
8,11/02/2021 03:00,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,
8,12/02/2021 00:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,
8,12/02/2021 00:30,Toyota Center,Houston Rockets,Miami Heat,
8,12/02/2021 03:00,Chase Center,Golden State Warriors,Orlando Magic,
8,12/02/2021 03:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,
8,13/02/2021 00:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,
8,13/02/2021 00:00,Capital One Arena,Washington Wizards,New York Knicks,
8,13/02/2021 00:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,
8,13/02/2021 00:30,TD Garden,Boston Celtics,Toronto Raptors,
8,13/02/2021 00:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
8,13/02/2021 01:00,United Center,Chicago Bulls,Los Angeles Clippers,
8,13/02/2021 02:00,Ball Arena,Denver Nuggets,Oklahoma City Thunder,
8,13/02/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Milwaukee Bucks,
8,13/02/2021 03:00,Staples Center,Los Angeles Lakers,Memphis Grizzlies,
8,13/02/2021 03:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,
8,13/02/2021 03:00,Golden 1 Center,Sacramento Kings,Orlando Magic,
8,13/02/2021 22:00,PHX Arena,Phoenix Suns,Philadelphia 76ers,
8,14/02/2021 00:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,
8,14/02/2021 00:30,Madison Square Garden,New York Knicks,Houston Rockets,
8,14/02/2021 01:30,Chase Center,Golden State Warriors,Brooklyn Nets,
8,14/02/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Miami Heat,
8,14/02/2021 20:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,
8,14/02/2021 23:00,TD Garden,Boston Celtics,Detroit Pistons,
8,14/02/2021 23:00,Amalie Arena,Toronto Raptors,Minnesota Timberwolves,
8,15/02/2021 00:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,
8,15/02/2021 00:00,Chesapeake Energy Arena,Oklahoma City Thunder,Milwaukee Bucks,
8,15/02/2021 00:30,Ball Arena,Denver Nuggets,Los Angeles Lakers,
8,15/02/2021 01:00,PHX Arena,Phoenix Suns,Orlando Magic,
